EmployeeID,EmployeeName,Salary,Position,State,DateOfBirth,Gender,MaritalStatus,HiringDate,TerminationDate,EmploymentStatus,Department,RecruitmentSource,PerformanceScore,EngagementSurvey,EmployeeSatisfaction
180,Daniel Ramirez,61349,Production Technician I,MA,11/07/74,F,Married,11/11/2013,NULL,Active,"Production       ",LinkedIn,Fully Meets,4.1,3
181,Stella Nelson,105688,Software Engineer,MA,11/07/87,F,Single,11/11/2013,NULL,Active,Engineering,Google Search,Fully Meets,4.5,5
182,Jackson Cox,54132,Production Technician I,MA,11/22/77,F,Married,5/31/2011,NULL,Active,"Production       ",Indeed,Fully Meets,5,4
183,Isabella Simmons,55315,Production Technician II,MA,05/21/87,F,Single,3/30/2015,NULL,Active,"Production       ",LinkedIn,Fully Meets,5,5
184,Noah Ward,62810,Production Technician I,MA,01/07/87,F,Married,1/7/2013,NULL,Active,"Production       ",CareerBuilder,Fully Meets,3.93,3
185,Riley Rodriguez,63291,Area Sales Manager,TX,07/01/84,"M ",Married,7/6/2016,NULL,Active,Sales,Website,Fully Meets,3.4,4
186,Aiden Gray,62659,Production Technician I,MA,05/30/68,F,Single,4/2/2012,11/11/2016,Voluntarily Terminated,"Production       ",Diversity Job Fair,Fully Meets,4.18,4
187,Aurora Hayes,55688,Production Technician I,MA,09/22/76,F,Single,3/30/2015,NULL,Active,"Production       ",CareerBuilder,Fully Meets,5,4
188,Carter Richardson,83667,Production Manager,MA,08/10/81,"M ",Single,8/16/2012,NULL,Active,"Production       ",Indeed,Fully Meets,4.37,3
189,Penelope Evans,55800,Production Technician II,MA,06/29/85,"M ",Single,8/15/2011,9/4/2014,Voluntarily Terminated,"Production       ",LinkedIn,PIP,3,2
190,Logan Taylor,58207,Production Technician II,MA,08/17/92,"M ",Married,11/7/2011,NULL,Active,"Production       ",LinkedIn,Fully Meets,3.7,3
191,Harper Morris,157000,IT Manager - Infra,MA,10/05/86,"M ",Married,2/15/2012,NULL,Active,IT/IS,Diversity Job Fair,Needs Improvement,2.39,3
192,Matthew Green,72460,Production Technician II,MA,04/24/70,F,Single,5/13/2013,NULL,Active,"Production       ",Indeed,Exceeds,4.7,3
193,Zoey Baker,72106,Production Technician II,MA,12/03/76,"M ",Single,1/9/2012,NULL,Active,"Production       ",Diversity Job Fair,Fully Meets,4.1,4
194,David Phillips,52599,Network Engineer,MA,04/04/79,F,Married,2/16/2015,NULL,Active,IT/IS,CareerBuilder,Fully Meets,3.81,3
195,Mila Butler,63430,Production Technician I,MA,07/07/84,F,Divorced,4/1/2013,NULL,Active,"Production       ",LinkedIn,Fully Meets,4.4,4
196,Joseph King,74417,Production Technician II,MA,12/01/74,"M ",Separated,5/13/2013,NULL,Active,"Production       ",LinkedIn,Fully Meets,4.29,5
197,Avery Coleman,57575,Production Technician I,MA,04/18/80,"M ",Single,7/8/2013,NULL,Active,"Production       ",LinkedIn,Fully Meets,4.1,4
198,Sebastian Smith,87921,Senior BI Developer,MA,04/25/70,"M ",Single,2/10/2017,NULL,Active,IT/IS,Indeed,Fully Meets,5,3
199,Eleanor White,50470,Production Technician I,MA,05/02/89,"M ",Single,9/26/2011,4/4/2014,Voluntarily Terminated,"Production       ",Diversity Job Fair,Fully Meets,4.3,3
200,Leo Turner,46664,Production Technician I,MA,03/28/83,"M ",Married,4/1/2013,5/25/2016,Voluntarily Terminated,"Production       ",Employee Referral,Fully Meets,3.18,3
201,Addison Adams,48495,Production Technician I,MA,04/08/77,"M ",Married,5/12/2014,NULL,Active,"Production       ",LinkedIn,Fully Meets,5,5
202,Andrew Martin,52984,Production Technician I,MA,06/03/67,F,Separated,4/1/2013,NULL,Active,"Production       ",Diversity Job Fair,Exceeds,4,3
203,Brooklyn Peterson,63695,Area Sales Manager,GA,03/31/89,F,Single,7/8/2013,NULL,Active,Sales,Indeed,Fully Meets,5,5
204,Nathan Clark,62061,Production Technician I,MA,07/07/84,F,Single,7/8/2013,NULL,Active,"Production       ",LinkedIn,Fully Meets,3.6,5
205,Leah Morris,66738,Production Technician II,MA,11/23/85,F,Single,11/10/2014,NULL,Active,"Production       ",Indeed,Fully Meets,4.53,5
206,Jack Hill,52674,Production Technician I,MA,09/30/80,F,Single,3/31/2014,5/1/2018,Terminated for Cause,"Production       ",LinkedIn,PIP,2.33,2
207,Grace Ross,71966,Production Technician II,MA,02/11/52,F,Married,5/14/2012,8/19/2013,Voluntarily Terminated,"Production       ",LinkedIn,Fully Meets,5,3
208,Ryan Mitchell,63051,Area Sales Manager,FL,05/11/90,F,Single,9/30/2013,NULL,Active,Sales,Indeed,Fully Meets,4.28,3
209,Madison Collins,47414,Production Technician I,MA,12/11/76,"M ",Married,9/30/2013,NULL,Active,"Production       ",LinkedIn,Exceeds,5,3
210,Gabriel Thompson,53060,Production Technician I,MA,11/24/79,"M ",Single,2/17/2014,NULL,Active,"Production       ",LinkedIn,Needs Improvement,4.25,3
211,Emily Cooper,68829,Area Sales Manager,NC,05/19/82,"M ",Single,1/5/2015,NULL,Active,Sales,Website,Fully Meets,5,5
212,Dylan Martinez,63515,Production Technician I,MA,05/01/79,F,Married,2/7/2011,1/12/2014,Voluntarily Terminated,"Production       ",Google Search,Fully Meets,3.89,4
213,Hazel Watson,108987,Software Engineer,MA,02/20/79,"M ",Single,11/7/2011,9/7/2015,Voluntarily Terminated,Engineering,Diversity Job Fair,Exceeds,5,5
214,Zachary Stewart,93093,Data Analyst,MA,09/05/84,"M ",Married,12/1/2014,5/1/2016,Voluntarily Terminated,IT/IS,Employee Referral,Fully Meets,4.7,4
215,Audrey Anderson,53564,Production Technician I,MA,03/17/88,"M ",Single,1/10/2011,12/28/2017,Voluntarily Terminated,"Production       ",Google Search,Needs Improvement,3.54,5
216,William Murphy,60270,Production Technician II,MA,07/18/89,F,Married,7/5/2011,9/15/2015,Voluntarily Terminated,"Production       ",CareerBuilder,Needs Improvement,2.4,5
217,Scarlett Mitchell,45998,Production Technician I,MA,07/20/86,F,Single,5/16/2011,10/25/2015,Voluntarily Terminated,"Production       ",LinkedIn,Fully Meets,3.45,4
218,Samuel Campbell,57954,Production Technician II,MA,08/17/86,F,Married,5/16/2011,2/4/2013,Voluntarily Terminated,"Production       ",Indeed,Exceeds,4.2,5
219,Lila Bennett,74669,Production Manager,MA,05/09/77,F,Married,10/25/2010,5/18/2016,Voluntarily Terminated,"Production       ",Indeed,Fully Meets,4.16,5
220,Oliver Sanchez,74226,Production Technician II,MA,03/10/79,F,Married,4/2/2012,NULL,Active,"Production       ",LinkedIn,Fully Meets,4.3,3
221,Victoria Roberts,93554,Data Analyst,MA,09/16/84,F,Married,11/10/2014,NULL,Active,IT/IS,Employee Referral,Exceeds,4.6,5
222,Daniel Foster,64724,Production Technician I,MA,03/06/88,"M ",Married,7/5/2011,11/30/2012,Voluntarily Terminated,"Production       ",Google Search,Fully Meets,5,3
223,Stella Henderson,47001,Production Technician I,MA,11/23/81,"M ",Single,11/5/2007,NULL,Active,"Production       ",Google Search,Fully Meets,3.66,3
224,James Clarke,61844,Area Sales Manager,KY,08/29/88,F,Married,1/9/2012,NULL,Active,Sales,Website,Fully Meets,4.2,5
225,Ava Lewis,46799,Production Technician I,MA,10/15/84,F,Divorced,5/16/2011,6/4/2018,Voluntarily Terminated,"Production       ",Google Search,Fully Meets,3.17,4
226,Ethan Rivera,59472,Production Technician I,MA,06/19/61,"M ",Single,1/6/2014,NULL,Active,"Production       ",Employee Referral,Fully Meets,4.8,3
227,Sophia Price,46430,Production Technician I,MA,09/22/70,F,Divorced,9/24/2012,6/18/2013,Voluntarily Terminated,"Production       ",Indeed,Fully Meets,4.5,5
228,Elijah Adams,83363,Software Engineer,MA,11/06/84,"M ",Married,2/21/2011,8/15/2015,Voluntarily Terminated,Engineering,Diversity Job Fair,Fully Meets,4.15,4
229,Lily Bryant,95920,BI Developer,MA,05/12/80,F,Married,10/2/2016,NULL,Active,IT/IS,Indeed,Fully Meets,4.4,4
230,Gabriel Carter,61729,Production Technician I,MA,12/31/84,"M ",Divorced,9/26/2011,4/7/2018,Voluntarily Terminated,"Production       ",Indeed,Fully Meets,3.8,5
231,Chloe Hughes,61809,Area Sales Manager,ID,10/12/54,"M ",Married,5/12/2014,NULL,Active,Sales,CareerBuilder,Fully Meets,3.98,3
232,Owen Turner,45115,Production Technician I,MA,07/22/82,"M ",Divorced,5/16/2011,1/15/2016,Voluntarily Terminated,"Production       ",LinkedIn,Fully Meets,5,4
233,Grace Reed,46738,Production Technician I,MA,01/12/73,F,Married,11/28/2011,NULL,Active,"Production       ",Google Search,Exceeds,4.36,5
234,Isaac Morgan,64971,Production Technician II,MA,09/05/81,F,Divorced,9/26/2011,10/22/2011,Voluntarily Terminated,"Production       ",Google Search,Fully Meets,4.5,4
235,Olivia Wright,55578,Production Technician II,MA,07/03/72,"M ",Married,7/5/2011,2/8/2012,Voluntarily Terminated,"Production       ",Indeed,Fully Meets,4.2,5
236,Benjamin Gonzalez,50428,Production Technician I,MA,01/07/74,"M ",Married,1/10/2011,1/26/2016,Voluntarily Terminated,"Production       ",Indeed,Fully Meets,5,3
237,Harper Parker,61422,Production Technician I,MA,01/07/85,F,Married,1/10/2011,5/17/2016,Terminated for Cause,"Production       ",Indeed,Needs Improvement,3.6,3
238,Mason Jenkins,63353,Production Technician I,MA,01/28/85,"M ",Widowed,7/8/2013,NULL,Active,"Production       ",Employee Referral,Exceeds,3.6,5
239,Amelia Bell,89883,Data Analyst,MA,10/11/81,F,Married,2/16/2015,NULL,Active,IT/IS,Employee Referral,Fully Meets,3.69,5
240,Samuel Ramirez,120000,Principal Data Architect,MA,05/27/73,F,Single,1/5/2015,11/10/2018,Voluntarily Terminated,IT/IS,LinkedIn,Fully Meets,3.88,3
241,Ava Nelson,150290,Data Architect,MA,11/21/72,F,Single,1/7/2017,NULL,Active,IT/IS,Indeed,Fully Meets,4.94,3
242,Julian Cox,60627,Production Technician I,MA,12/05/74,F,Separated,1/6/2014,NULL,Active,"Production       ",Website,Fully Meets,5,4
243,Emily Simmons,53180,Production Technician I,MA,03/18/87,"M ",Single,4/4/2011,8/13/2018,Voluntarily Terminated,"Production       ",Google Search,Fully Meets,5,5
244,Liam Ward,140920,IT Manager - DB,MA,04/05/73,"M ",Single,1/20/2013,NULL,Active,IT/IS,Indeed,Fully Meets,3.6,5
245,Abigail Rodriguez,148999,IT Manager - DB,MA,01/04/64,"M ",Divorced,1/9/2012,11/4/2015,Voluntarily Terminated,IT/IS,Diversity Job Fair,Fully Meets,4.3,4
246,Caleb Gray,86214,Software Engineer,MA,07/24/86,F,Married,11/5/2012,NULL,Active,Engineering,Indeed,Fully Meets,4.2,3
247,Sofia Hayes,47750,Production Technician I,MA,06/06/68,F,Single,7/4/2016,NULL,Active,"Production       ",Diversity Job Fair,Needs Improvement,2.6,4
248,Henry Richardson,46428,Production Technician I,MA,12/21/74,"M ",Single,1/5/2009,7/30/2018,Voluntarily Terminated,"Production       ",Google Search,Fully Meets,4.6,5
249,Victoria Evans,57975,Production Technician II,MA,04/26/86,"M ",Married,8/30/2010,NULL,Active,"Production       ",CareerBuilder,Fully Meets,4.1,3
250,Alexander Green,88527,"Data Analyst ",MA,12/17/87,"M ",Divorced,1/5/2015,10/31/2015,Voluntarily Terminated,IT/IS,LinkedIn,Fully Meets,4.2,3
251,Lucy Baker,56147,Production Technician I,MA,07/10/88,F,Married,9/29/2014,NULL,Active,"Production       ",LinkedIn,Fully Meets,3.51,3
252,Kwame Adu,50923,Production Technician I,MA,03/10/75,F,Single,9/30/2013,NULL,Active,"Production       ",Google Search,Fully Meets,5,5
253,Abena Mensah,50750,Network Engineer,MA,04/14/81,F,Married,9/30/2014,NULL,Active,IT/IS,LinkedIn,Fully Meets,3.31,3
254,Kofi Osei,52087,Production Technician I,MA,08/24/85,F,Married,8/19/2013,NULL,Active,"Production       ",LinkedIn,Fully Meets,4.81,4
255,Akua Boateng,87826,Data Analyst,MA,02/08/70,"M ",Married,1/5/2015,NULL,Active,IT/IS,Employee Referral,Fully Meets,3.32,3
256,Nana Acheampong,51920,Administrative Assistant,MA,05/19/88,F,Single,5/1/2015,NULL,Active,Admin Offices,Website,Fully Meets,5,3
257,Esi Amponsah,63878,Production Technician II,MA,11/25/87,F,Single,10/26/2009,4/8/2015,Voluntarily Terminated,"Production       ",CareerBuilder,Fully Meets,4.68,4
258,Kwadwo Owusu,60656,Production Technician II,MA,10/30/63,"M ",Single,9/29/2014,NULL,Active,"Production       ",Indeed,Exceeds,4.3,3
259,Ama Gyasi,72992,Sales Manager,MA,08/16/84,"M ",Divorced,5/18/2014,NULL,Active,Sales,Diversity Job Fair,Needs Improvement,2.4,4
260,Kojo Ansah,55000,Administrative Assistant,MA,06/14/87,F,Married,9/26/2011,9/25/2013,Voluntarily Terminated,Admin Offices,Diversity Job Fair,Fully Meets,3.8,4
261,Yaa Appiah,58939,Production Technician I,MA,02/02/65,F,Single,11/11/2013,NULL,Active,"Production       ",Employee Referral,Fully Meets,3.73,3
262,Kwesi Mensah,66593,IT Support,MA,03/12/73,F,Married,6/10/2011,NULL,Active,IT/IS,LinkedIn,Fully Meets,4.3,3
263,Afia Darko,87565,Sr. Network Engineer,MA,02/09/83,"M ",Married,6/30/2016,NULL,Active,IT/IS,LinkedIn,Fully Meets,3.27,4
264,Kwabena Boateng,64021,Production Technician I,MA,07/20/68,F,Married,2/20/2012,NULL,Active,"Production       ",Indeed,PIP,2.4,2
265,Adwoa Agyemang,65714,Production Manager,MA,09/30/75,F,Married,10/2/2012,NULL,Active,"Production       ",LinkedIn,Fully Meets,4.83,5
266,Nii Tetteh,62425,Production Technician I,MA,03/26/73,F,Divorced,5/13/2013,6/29/2015,Voluntarily Terminated,"Production       ",LinkedIn,Exceeds,4.1,4
267,Maa Anokye,47961,Production Technician I,MA,08/25/82,F,Divorced,1/10/2011,NULL,Active,"Production       ",Google Search,Fully Meets,4.1,4
268,Kweku Asante,58273,Area Sales Manager,NV,05/09/74,"M ",Married,5/12/2014,NULL,Active,Sales,Website,PIP,1.81,2
269,Aba Obeng,63003,Accountant I,MA,09/01/86,"M ",Single,9/29/2014,NULL,Active,Admin Offices,Indeed,Fully Meets,3.9,5
270,Kwaku Ofori,61355,Production Technician I,MA,03/14/85,"M ",Married,2/17/2014,NULL,Active,"Production       ",LinkedIn,Fully Meets,4.7,3
271,Akosua Adu,60120,Area Sales Manager,MT,05/12/89,F,Married,9/27/2010,NULL,Active,Sales,Indeed,Fully Meets,4.1,4
272,Kobby Osei,63682,Production Manager,MA,03/28/78,F,Married,1/8/2009,NULL,Active,"Production       ",Indeed,Fully Meets,3.73,4
273,Adwoa Asare,63025,Production Technician I,MA,10/07/82,"M ",Married,1/5/2015,NULL,Active,"Production       ",Google Search,Fully Meets,4.36,5
274,Kojo Amoah,59238,Production Technician I,MA,08/15/68,F,Single,5/14/2012,NULL,Active,"Production       ",Indeed,Fully Meets,3.4,5
275,Efia Yeboah,92989,Software Engineer,MA,05/06/83,"M ",Single,7/7/2014,NULL,Active,Engineering,LinkedIn,Exceeds,4.5,5
276,Kwame Addo,90100,BI Developer,MA,10/24/87,"M ",Married,4/20/2017,NULL,Active,IT/IS,Indeed,Fully Meets,3.4,3
277,Akua Owusu,60754,Production Technician I,MA,04/03/75,F,Married,4/27/2009,4/1/2013,Voluntarily Terminated,"Production       ",Diversity Job Fair,Fully Meets,4.5,5
278,Kwesi Acheampong,72202,Production Technician II,MA,05/24/53,F,Married,5/16/2011,7/8/2017,Voluntarily Terminated,"Production       ",Google Search,Fully Meets,3.93,3
279,Ama Mensah,58370,Area Sales Manager,OR,05/07/65,F,Single,9/29/2014,NULL,Active,Sales,Indeed,Fully Meets,3.69,3
280,Nana Boateng,48413,Production Technician I,MA,05/09/65,F,Single,7/5/2011,9/5/2016,Voluntarily Terminated,"Production       ",Indeed,Fully Meets,3.98,4
281,Esi Amankwah,67176,Production Technician II,MA,09/16/75,"M ",Widowed,6/25/2007,8/30/2010,Voluntarily Terminated,"Production       ",Other,Fully Meets,4.1,4
282,Kofi Appiah,56339,Production Technician I,MA,06/05/67,F,Divorced,2/18/2013,NULL,Active,"Production       ",Indeed,Fully Meets,4.21,5
283,Abena Adjei,64397,Area Sales Manager,ND,01/15/68,"M ",Separated,1/9/2006,NULL,Active,Sales,Indeed,Exceeds,4.1,3
284,Kojo Ampofo,63025,Production Technician I,MA,05/16/83,F,Single,2/17/2014,NULL,Active,"Production       ",LinkedIn,Needs Improvement,2.44,5
285,Yaa Ansah,75281,Network Engineer,MA,05/05/88,"M ",Married,1/5/2015,2/12/2016,Voluntarily Terminated,IT/IS,CareerBuilder,Fully Meets,5,3
286,Kwadwo Darko,100416,Software Engineer,MA,06/14/83,"M ",Single,2/18/2013,4/15/2018,Voluntarily Terminated,Engineering,Diversity Job Fair,Fully Meets,4.6,3
287,Akua Addo,74813,Production Technician II,MA,03/15/85,F,Single,1/10/2011,7/2/2014,Voluntarily Terminated,"Production       ",LinkedIn,Fully Meets,4.4,3
288,Kweku Agyemang,76029,Network Engineer,MA,03/31/69,"M ",Married,3/30/2015,NULL,Active,IT/IS,Employee Referral,Fully Meets,5,4
289,Afia Mensah,57859,Area Sales Manager,AZ,05/23/91,F,Married,7/5/2011,NULL,Active,Sales,Indeed,Fully Meets,2.81,3
290,Kwabena Osei,58523,Production Technician I,MA,01/31/87,"M ",Divorced,8/13/2012,2/5/2016,Voluntarily Terminated,"Production       ",LinkedIn,Exceeds,4.5,5
291,Ama Gyamfi,88976,Production Manager,MA,10/10/68,"M ",Divorced,8/1/2011,NULL,Active,"Production       ",Employee Referral,Fully Meets,3.93,3
292,Nii Amponsah,55875,Area Sales Manager,ME,07/11/89,"M ",Single,3/5/2012,NULL,Active,Sales,Website,Fully Meets,4.5,4
293,Adwoa Boateng,113999,Database Administrator,MA,08/07/86,"M ",Married,2/16/2015,2/22/2017,Terminated for Cause,IT/IS,Employee Referral,Fully Meets,4.33,3
294,Kobby Asamoah,49773,Production Technician I,MA,06/03/86,F,Married,9/26/2011,2/8/2016,Terminated for Cause,"Production       ",Google Search,Exceeds,4.3,5
295,Akosua Badu,62068,Production Technician I,MA,04/06/85,F,Single,7/5/2015,NULL,Active,"Production       ",LinkedIn,Fully Meets,3.21,3
296,Kwaku Nkrumah,66541,Production Technician II,MA,02/10/76,"M ",Single,8/18/2014,NULL,Active,"Production       ",Employee Referral,Fully Meets,3.11,5
297,Aba Agyei,80512,Production Manager,MA,11/14/55,F,Married,9/26/2011,1/2/2012,Voluntarily Terminated,"Production       ",Diversity Job Fair,Fully Meets,4.5,3
298,Kwame Bonsu,50274,Production Technician I,MA,08/02/80,F,Single,8/13/2012,9/1/2015,Voluntarily Terminated,"Production       ",CareerBuilder,Needs Improvement,2.5,3
299,Kojo Anane,84903,Senior BI Developer,MA,07/08/81,"M ",Single,2/15/2017,NULL,Active,IT/IS,Indeed,Fully Meets,3.42,4
300,Efia Owusu,107226,Sr. Network Engineer,MA,05/02/78,F,Widowed,3/30/2015,NULL,Active,IT/IS,Employee Referral,Fully Meets,4.2,4
301,Kwesi Arthur,58371,Production Technician I,MA,05/24/87,"M ",Single,1/10/2011,5/15/2014,Voluntarily Terminated,"Production       ",LinkedIn,Fully Meets,5,5
302,Akua Anokye,55140,Production Technician I,MA,09/09/65,"M ",Married,5/16/2011,9/7/2015,Voluntarily Terminated,"Production       ",Website,Fully Meets,5,3
303,Kwabena Asamoah,58062,Production Technician I,MA,07/30/83,F,Divorced,1/10/2011,5/14/2012,Voluntarily Terminated,"Production       ",Google Search,Fully Meets,3.6,5
304,Ama Asante,59728,Production Technician I,MA,10/02/69,F,Single,1/9/2012,6/27/2015,Voluntarily Terminated,"Production       ",Diversity Job Fair,Fully Meets,4.3,4
305,Kofi Mensah,70507,Production Technician II,MA,11/07/58,"M ",Single,1/7/2013,2/21/2016,Voluntarily Terminated,"Production       ",LinkedIn,Exceeds,5,3
306,Abena Yeboah,60446,Production Technician II,MA,04/20/85,F,Single,9/29/2014,NULL,Active,"Production       ",LinkedIn,Fully Meets,3.4,4
307,Nana Asare,65893,Production Technician II,MA,05/11/85,"M ",Single,7/7/2014,NULL,Active,"Production       ",LinkedIn,Fully Meets,4.07,4
308,Yaa Yeboah,48513,Production Technician I,MA,05/04/82,F,Single,9/2/2008,9/29/2015,Voluntarily Terminated,"Production       ",Google Search,PIP,3.2,2
309,Kojo Ofori,220450,CIO,MA,08/30/79,F,Single,4/10/2010,NULL,Active,IT/IS,Employee Referral,Exceeds,4.6,5
310,Esi Amoako,89292,Data Analyst,MA,02/24/79,F,Single,3/30/2015,NULL,Active,IT/IS,Employee Referral,Fully Meets,5,3
311,Kweku Annan,45046,Production Technician I,MA,08/17/78,F,Widowed,9/29/2014,NULL,Active,"Production       ",LinkedIn,Fully Meets,4.5,5
